"AD","ED","Harris","Trump"
23,1,295,1011
23,2,289,957
23,3,99,330
23,4,391,871
23,5,336,936
23,6,371,858
23,7,441,889
23,8,443,593
23,9,385,335
23,10,465,762
23,11,653,282
23,12,199,94
23,13,535,265
23,14,319,388
23,15,421,437
23,16,272,229
23,17,186,489
23,18,594,228
23,19,125,18
23,20,841,147
23,21,608,215
23,22,294,37
23,23,204,217
23,24,372,75
23,25,487,354
23,26,281,202
23,27,169,998
23,28,501,260
23,29,172,636
23,30,223,617
23,31,501,389
23,32,529,555
23,33,233,1001
23,34,256,808
23,35,177,847
23,36,217,870
23,37,362,745
23,38,266,682
23,39,60,29
23,40,331,276
23,41,329,391
23,42,274,299
23,43,8,3
23,44,564,640
23,45,346,426
23,46,523,482
23,47,364,418
23,48,377,459
23,49,494,504
23,50,181,174
23,51,370,274
23,52,225,167
23,53,423,293
23,54,398,291
23,55,150,142
23,56,161,156
23,57,228,230
23,58,132,403
23,59,102,397
23,60,296,394
23,61,10,6
23,62,443,384
23,63,257,185
23,64,136,90
23,65,0,0
23,66,0,0
23,67,0,0
23,68,0,0
23,69,0,0
23,70,0,0
23,71,0,0
23,72,0,0
24,1,164,114
24,2,224,110
24,3,422,303
24,4,394,229
24,5,412,224
24,6,459,405
24,7,356,246
24,8,477,344
24,9,586,322
24,10,535,202
24,11,350,188
24,12,266,180
24,13,454,281
24,14,415,347
24,15,351,300
24,17,77,28
24,18,263,211
24,19,401,273
24,20,161,73
24,21,275,254
24,22,42,61
24,23,325,195
24,24,225,251
24,25,133,114
24,26,259,182
24,27,185,104
24,28,250,150
24,29,429,282
24,30,311,241
24,31,412,357
24,32,411,271
24,33,14,21
24,34,112,84
24,35,178,121
24,36,511,269
24,37,252,176
24,38,622,277
24,39,442,280
24,40,299,174
24,41,219,199
24,42,318,138
24,43,415,314
24,44,216,126
24,45,102,60
24,46,734,317
24,47,569,285
24,48,201,123
24,49,294,919
24,50,103,260
24,51,589,392
24,52,712,302
24,53,911,158
24,54,126,44
24,55,421,188
24,56,513,262
24,57,396,256
24,58,420,481
24,59,439,370
24,60,651,532
24,61,608,434
24,62,607,472
24,63,277,212
24,64,452,437
24,65,553,285
24,66,0,0
25,1,680,339
25,2,656,268
25,3,104,127
25,4,273,171
25,5,673,296
25,6,297,321
25,7,57,54
25,8,40,18
25,9,351,498
25,10,18,17
25,11,246,460
25,12,427,596
25,13,410,534
25,14,343,541
25,15,285,380
25,16,264,526
25,17,393,484
25,18,486,334
25,19,545,298
25,20,557,273
25,21,244,172
25,22,646,459
25,23,291,257
25,24,328,292
25,25,490,495
25,26,452,509
25,27,522,391
25,28,404,309
25,29,425,490
25,30,365,448
25,31,352,407
25,32,283,371
25,33,381,563
25,34,381,471
25,35,375,389
25,36,332,342
25,37,293,283
25,38,275,334
25,39,255,366
25,40,311,355
25,41,235,246
25,42,349,325
25,43,327,310
25,44,389,287
25,45,374,336
25,46,240,273
25,47,190,177
25,48,109,52
25,49,0,0
25,50,0,0
26,1,186,168
26,2,128,53
26,3,107,97
26,4,213,149
26,5,29,13
26,6,423,304
26,7,557,390
26,8,644,448
26,9,267,176
26,10,768,229
26,11,401,143
26,12,653,516
26,13,507,600
26,14,525,516
26,15,618,474
26,16,555,508
26,17,617,494
26,18,394,310
26,19,217,236
26,20,611,525
26,21,529,571
26,22,510,622
26,23,556,452
26,24,577,508
26,25,363,326
26,26,410,366
26,27,102,83
26,28,414,433
26,29,260,330
26,30,0,0
26,31,518,425
26,32,503,388
26,33,478,512
26,34,545,597
26,35,337,334
26,36,464,486
26,37,342,430
26,38,746,493
26,39,338,309
26,40,344,270
26,41,706,393
26,42,456,393
26,43,622,393
26,44,486,415
26,45,600,560
26,46,386,371
26,47,16,32
26,48,395,454
26,49,314,420
26,50,414,742
26,51,224,257
26,52,346,402
26,53,411,483
26,54,527,514
26,55,527,545
26,56,465,478
26,57,516,459
26,58,162,162
26,59,504,447
26,60,341,376
26,61,516,460
26,62,396,431
26,63,0,0
26,64,0,0
26,65,0,0
26,66,0,0
27,1,153,241
27,2,692,288
27,3,775,330
27,4,782,283
27,5,862,321
27,6,471,213
27,7,72,199
27,8,228,186
27,9,246,407
27,10,247,131
27,11,180,106
27,12,521,323
27,13,388,370
27,14,655,309
27,15,691,334
27,16,351,171
27,17,493,255
27,18,298,113
27,19,414,413
27,20,209,459
27,21,366,516
27,22,515,407
27,23,237,564
27,24,241,443
27,25,229,796
27,26,157,81
27,27,114,916
27,28,361,521
27,29,132,723
27,30,208,299
27,31,12,63
27,32,393,399
27,33,403,480
27,34,377,468
27,35,364,418
27,36,366,492
27,37,381,458
27,38,312,524
27,39,292,624
