"ED","CD","SD","AD","ADED"
24,14,34,87,"AD: 87 ED: 024"
45,15,32,79,"AD: 79 ED: 045"
28,13,33,78,"AD: 78 ED: 028"
11,15,33,78,"AD: 78 ED: 011"
31,15,32,79,"AD: 79 ED: 031"
50,15,29,79,"AD: 79 ED: 050"
10,14,29,85,"AD: 85 ED: 010"
7,15,29,77,"AD: 77 ED: 007"
47,16,36,82,"AD: 82 ED: 047"
32,15,32,79,"AD: 79 ED: 032"
41,14,34,82,"AD: 82 ED: 041"
9,15,29,77,"AD: 77 ED: 009"
43,15,32,86,"AD: 86 ED: 043"
39,13,33,78,"AD: 78 ED: 039"
16,14,34,87,"AD: 87 ED: 016"
22,14,34,82,"AD: 82 ED: 022"
45,16,36,82,"AD: 82 ED: 045"
6,15,36,83,"AD: 83 ED: 006"
19,14,34,82,"AD: 82 ED: 019"
45,15,33,80,"AD: 80 ED: 045"
44,15,32,86,"AD: 86 ED: 044"
43,15,36,81,"AD: 81 ED: 043"
42,15,32,79,"AD: 79 ED: 042"
2,15,29,77,"AD: 77 ED: 002"
29,14,34,82,"AD: 82 ED: 029"
2,15,32,78,"AD: 78 ED: 002"
35,14,29,84,"AD: 84 ED: 035"
14,15,33,80,"AD: 80 ED: 014"
50,14,32,85,"AD: 85 ED: 050"
22,15,36,83,"AD: 83 ED: 022"
27,13,33,86,"AD: 86 ED: 027"
20,15,32,79,"AD: 79 ED: 020"
55,15,36,81,"AD: 81 ED: 055"
35,15,32,77,"AD: 77 ED: 035"
33,15,32,79,"AD: 79 ED: 033"
21,14,34,87,"AD: 87 ED: 021"
44,14,34,82,"AD: 82 ED: 044"
15,15,33,81,"AD: 81 ED: 015"
42,15,32,77,"AD: 77 ED: 042"
13,15,33,86,"AD: 86 ED: 013"
30,14,34,82,"AD: 82 ED: 030"
64,16,36,82,"AD: 82 ED: 064"
52,14,29,84,"AD: 84 ED: 052"
56,15,36,83,"AD: 83 ED: 056"
37,15,33,81,"AD: 81 ED: 037"
24,15,33,77,"AD: 77 ED: 024"
54,15,32,79,"AD: 79 ED: 054"
16,15,33,80,"AD: 80 ED: 016"
42,14,34,82,"AD: 82 ED: 042"
20,14,34,85,"AD: 85 ED: 020"
57,15,36,81,"AD: 81 ED: 057"
20,14,34,87,"AD: 87 ED: 020"
62,16,36,82,"AD: 82 ED: 062"
27,15,32,79,"AD: 79 ED: 027"
17,15,33,80,"AD: 80 ED: 017"
48,14,34,87,"AD: 87 ED: 048"
28,15,31,77,"AD: 77 ED: 028"
8,15,29,77,"AD: 77 ED: 008"
11,13,31,81,"AD: 81 ED: 011"
56,15,29,84,"AD: 84 ED: 056"
39,15,33,81,"AD: 81 ED: 039"
43,14,32,85,"AD: 85 ED: 043"
6,15,29,77,"AD: 77 ED: 006"
47,15,29,79,"AD: 79 ED: 047"
7,15,29,79,"AD: 79 ED: 007"
51,14,34,87,"AD: 87 ED: 051"
33,15,33,81,"AD: 81 ED: 033"
45,15,29,84,"AD: 84 ED: 045"
12,15,31,81,"AD: 81 ED: 012"
41,14,34,87,"AD: 87 ED: 041"
25,15,36,83,"AD: 83 ED: 025"
63,16,36,82,"AD: 82 ED: 063"
31,14,32,85,"AD: 85 ED: 031"
44,15,32,77,"AD: 77 ED: 044"
11,15,32,79,"AD: 79 ED: 011"
8,14,34,82,"AD: 82 ED: 008"
14,15,32,79,"AD: 79 ED: 014"
32,14,34,82,"AD: 82 ED: 032"
5,15,33,78,"AD: 78 ED: 005"
56,13,31,81,"AD: 81 ED: 056"
40,14,34,87,"AD: 87 ED: 040"
1,13,31,81,"AD: 81 ED: 001"
30,15,32,79,"AD: 79 ED: 030"
13,13,33,78,"AD: 78 ED: 013"
11,15,36,83,"AD: 83 ED: 011"
39,14,34,87,"AD: 87 ED: 039"
20,15,34,80,"AD: 80 ED: 020"
51,15,36,80,"AD: 80 ED: 051"
46,15,32,77,"AD: 77 ED: 046"
32,13,31,78,"AD: 78 ED: 032"
18,15,32,79,"AD: 79 ED: 018"
9,14,34,85,"AD: 85 ED: 009"
15,14,34,82,"AD: 82 ED: 015"
4,15,32,79,"AD: 79 ED: 004"
28,13,33,86,"AD: 86 ED: 028"
27,13,33,78,"AD: 78 ED: 027"
3,15,32,79,"AD: 79 ED: 003"
42,15,32,86,"AD: 86 ED: 042"
48,16,36,83,"AD: 83 ED: 048"
32,15,32,77,"AD: 77 ED: 032"
36,14,29,84,"AD: 84 ED: 036"
41,15,32,77,"AD: 77 ED: 041"
54,13,31,81,"AD: 81 ED: 054"
10,15,33,78,"AD: 78 ED: 010"
49,15,33,78,"AD: 78 ED: 049"
10,15,33,86,"AD: 86 ED: 010"
12,15,29,84,"AD: 84 ED: 012"
27,15,31,77,"AD: 77 ED: 027"
19,14,34,87,"AD: 87 ED: 019"
32,14,34,87,"AD: 87 ED: 032"
30,15,33,81,"AD: 81 ED: 030"
52,15,29,79,"AD: 79 ED: 052"
23,14,34,82,"AD: 82 ED: 023"
39,14,32,85,"AD: 85 ED: 039"
4,15,32,87,"AD: 87 ED: 004"
6,14,29,85,"AD: 85 ED: 006"
60,16,36,82,"AD: 82 ED: 060"
15,15,32,84,"AD: 84 ED: 015"
8,13,31,86,"AD: 86 ED: 008"
35,15,33,86,"AD: 86 ED: 035"
18,13,31,77,"AD: 77 ED: 018"
27,15,33,81,"AD: 81 ED: 027"
28,15,33,81,"AD: 81 ED: 028"
55,15,29,79,"AD: 79 ED: 055"
6,15,33,80,"AD: 80 ED: 006"
18,13,33,78,"AD: 78 ED: 018"
5,14,34,87,"AD: 87 ED: 005"
35,14,32,87,"AD: 87 ED: 035"
55,15,33,80,"AD: 80 ED: 055"
15,15,32,79,"AD: 79 ED: 015"
18,14,29,85,"AD: 85 ED: 018"
49,16,36,83,"AD: 83 ED: 049"
6,14,34,82,"AD: 82 ED: 006"
39,15,32,79,"AD: 79 ED: 039"
22,14,34,85,"AD: 85 ED: 022"
35,15,32,79,"AD: 79 ED: 035"
49,16,36,82,"AD: 82 ED: 049"
43,16,36,83,"AD: 83 ED: 043"
11,14,34,85,"AD: 85 ED: 011"
11,14,34,82,"AD: 82 ED: 011"
14,15,36,83,"AD: 83 ED: 014"
26,15,36,80,"AD: 80 ED: 026"
32,15,33,81,"AD: 81 ED: 032"
16,14,34,82,"AD: 82 ED: 016"
4,14,34,82,"AD: 82 ED: 004"
21,15,33,81,"AD: 81 ED: 021"
35,15,36,80,"AD: 80 ED: 035"
1,15,29,77,"AD: 77 ED: 001"
1,14,29,85,"AD: 85 ED: 001"
48,15,29,84,"AD: 84 ED: 048"
3,15,33,78,"AD: 78 ED: 003"
7,15,29,84,"AD: 84 ED: 007"
35,14,32,85,"AD: 85 ED: 035"
23,14,34,87,"AD: 87 ED: 023"
28,14,32,85,"AD: 85 ED: 028"
1,15,32,79,"AD: 79 ED: 001"
40,14,32,85,"AD: 85 ED: 040"
25,14,34,82,"AD: 82 ED: 025"
46,15,32,79,"AD: 79 ED: 046"
48,15,33,80,"AD: 80 ED: 048"
15,15,32,78,"AD: 78 ED: 015"
45,15,36,81,"AD: 81 ED: 045"
10,14,34,87,"AD: 87 ED: 010"
42,13,33,78,"AD: 78 ED: 042"
1,15,32,87,"AD: 87 ED: 001"
34,15,36,80,"AD: 80 ED: 034"
26,15,33,81,"AD: 81 ED: 026"
47,15,33,81,"AD: 81 ED: 047"
13,14,34,82,"AD: 82 ED: 013"
9,15,36,83,"AD: 83 ED: 009"
39,15,32,86,"AD: 86 ED: 039"
21,15,36,83,"AD: 83 ED: 021"
6,13,31,86,"AD: 86 ED: 006"
25,15,33,81,"AD: 81 ED: 025"
23,15,33,77,"AD: 77 ED: 023"
49,15,32,86,"AD: 86 ED: 049"
40,15,32,86,"AD: 86 ED: 040"
22,15,33,81,"AD: 81 ED: 022"
3,13,31,81,"AD: 81 ED: 003"
26,15,31,77,"AD: 77 ED: 026"
10,13,31,81,"AD: 81 ED: 010"
32,14,32,85,"AD: 85 ED: 032"
41,15,36,80,"AD: 80 ED: 041"
2,15,31,86,"AD: 86 ED: 002"
46,14,32,85,"AD: 85 ED: 046"
47,15,32,77,"AD: 77 ED: 047"
32,15,33,86,"AD: 86 ED: 032"
38,15,36,80,"AD: 80 ED: 038"
35,15,33,81,"AD: 81 ED: 035"
3,15,32,84,"AD: 84 ED: 003"
17,15,32,79,"AD: 79 ED: 017"
42,14,32,85,"AD: 85 ED: 042"
11,15,33,86,"AD: 86 ED: 011"
22,15,32,79,"AD: 79 ED: 022"
33,15,29,84,"AD: 84 ED: 033"
53,15,29,84,"AD: 84 ED: 053"
44,13,31,78,"AD: 78 ED: 044"
49,14,34,87,"AD: 87 ED: 049"
27,14,29,85,"AD: 85 ED: 027"
14,15,33,81,"AD: 81 ED: 014"
13,15,32,79,"AD: 79 ED: 013"
28,15,32,79,"AD: 79 ED: 028"
19,13,33,78,"AD: 78 ED: 019"
59,16,36,82,"AD: 82 ED: 059"
51,14,29,85,"AD: 85 ED: 051"
1,15,32,84,"AD: 84 ED: 001"
26,14,32,79,"AD: 79 ED: 026"
10,14,34,82,"AD: 82 ED: 010"
15,15,36,83,"AD: 83 ED: 015"
23,13,31,86,"AD: 86 ED: 023"
43,15,36,80,"AD: 80 ED: 043"
17,15,29,84,"AD: 84 ED: 017"
12,15,33,80,"AD: 80 ED: 012"
19,14,34,85,"AD: 85 ED: 019"
26,14,32,85,"AD: 85 ED: 026"
27,14,34,82,"AD: 82 ED: 027"
38,15,32,86,"AD: 86 ED: 038"
36,15,32,79,"AD: 79 ED: 036"
9,15,29,84,"AD: 84 ED: 009"
26,14,34,87,"AD: 87 ED: 026"
50,15,33,81,"AD: 81 ED: 050"
38,16,36,83,"AD: 83 ED: 038"
21,15,29,84,"AD: 84 ED: 021"
18,14,34,82,"AD: 82 ED: 018"
48,14,32,79,"AD: 79 ED: 048"
50,14,34,87,"AD: 87 ED: 050"
57,15,33,80,"AD: 80 ED: 057"
48,15,33,81,"AD: 81 ED: 048"
42,15,36,80,"AD: 80 ED: 042"
47,14,34,87,"AD: 87 ED: 047"
17,15,36,83,"AD: 83 ED: 017"
33,15,32,85,"AD: 85 ED: 033"
51,14,29,84,"AD: 84 ED: 051"
48,15,32,77,"AD: 77 ED: 048"
7,14,34,85,"AD: 85 ED: 007"
43,15,29,84,"AD: 84 ED: 043"
12,15,36,83,"AD: 83 ED: 012"
35,13,31,78,"AD: 78 ED: 035"
13,15,31,77,"AD: 77 ED: 013"
38,15,32,79,"AD: 79 ED: 038"
36,15,32,77,"AD: 77 ED: 036"
34,15,36,83,"AD: 83 ED: 034"
36,14,32,85,"AD: 85 ED: 036"
49,14,34,85,"AD: 85 ED: 049"
30,14,34,87,"AD: 87 ED: 030"
17,13,33,86,"AD: 86 ED: 017"
9,13,31,86,"AD: 86 ED: 009"
29,15,36,80,"AD: 80 ED: 029"
9,14,34,82,"AD: 82 ED: 009"
7,13,33,86,"AD: 86 ED: 007"
24,14,36,80,"AD: 80 ED: 024"
52,15,36,81,"AD: 81 ED: 052"
42,15,36,81,"AD: 81 ED: 042"
