AD,Mamdani,Cuomo,Invalid,Total,Total_2can,Mamdani_per,Cuomo_per,Mamdani_margin,Member,Member Party
23,3865,6676,630,11105,10541,0.366663504,0.633336496,-0.266672991,Stacey Pheffer Amato,Democratic
24,6223,5524,492,11978,11743,0.529932726,0.470407903,0.059524823,David Weprin,Democratic
25,3924,4326,410,8601,8250,0.475636364,0.524363636,-0.048727273,Nily Rozic,Democratic
26,5293,7188,812,13286,12478,0.424186568,0.576053855,-0.151867286,Edward Braunstein,Democratic
27,3786,6309,488,10474,10095,0.375037147,0.624962853,-0.249925706,Sam Berger,Democratic
28,8006,7459,954,16304,15460,0.517852523,0.482470893,0.03538163,Andrew Hevesi,Democratic
29,5610,8332,757,14620,13941,0.402410157,0.597661574,-0.195251417,Alicia Hyndman,Democratic
30,6741,3198,360,10274,9937,0.678373755,0.321827513,0.356546241,Steven Raga,Democratic
31,3187,5333,477,8984,8512,0.374412594,0.626527256,-0.252114662,Khaleel Anderson,Democratic
32,4270,7601,1008,12635,11851,0.360307147,0.641380474,-0.281073327,Vivian E. Cook,Democratic
33,6261,8475,761,15467,14736,0.42487785,0.57512215,-0.1502443,Clyde Vanel,Democratic
34,9793,4050,501,14270,13843,0.70743336,0.29256664,0.41486672,Jessica Gonz‡lez-Rojas,Democratic
35,3725,4263,493,8481,7988,0.466324487,0.533675513,-0.067351027,Larinda Hooks,Democratic
36,18694,4336,761,23720,23030,0.811723838,0.188276162,0.623447677,Zohran Mamdani,Democratic
37,14792,4432,709,19922,19222,0.769534908,0.23056914,0.538965768,Claire Valdez,Democratic
38,7035,2955,307,10297,9990,0.704204204,0.295795796,0.408408408,Jenifer Rajkumar,Democratic
39,6409,3590,515,10414,9999,0.640964096,0.359035904,0.281928193,Catalina Cruz,Democratic
40,3079,2848,347,6138,5926,0.519574755,0.480593993,0.038980763,Ron Kim,Democratic
41,3899,8797,690,13386,12696,0.3071046,0.6928954,-0.3857908,Kalman Yeger,Democratic
42,10699,8877,811,20357,19576,0.546536575,0.453463425,0.093073151,Rodneyse Bichotte Hermelyn,Democratic
43,15726,9899,1043,26668,25625,0.613697561,0.386302439,0.227395122,Brian A. Cunningham,Democratic
