"CD","Mamdani","Cuomo","Invalid","Total","Total_2can","Mamdani_per","Cuomo_per","Mamdani_margin"
3,8121,9452,995,18548,17570,0.462208309618668,0.537962435970404,-0.0757541263517358
5,26802,40364,3953,70317,67137,0.399213548415926,0.601218404158661,-0.202004855742735
6,29955,28338,3072,60983,58280,0.513984214138641,0.486238846945779,0.027745367192862
7,84865,26905,3909,115251,111765,0.759316422851519,0.240728313872858,0.518588108978661
8,45771,36123,4414,85963,81890,0.558932714617169,0.441116131395775,0.117816583221395
9,55474,51117,4380,110209,106231,0.522201617230375,0.481187224068304,0.0410143931620713
10,95528,44515,9588,149459,140037,0.682162571320437,0.317880274498882,0.364282296821554
11,23760,22198,2724,48221,45951,0.517072533785989,0.483079802398207,0.0339927313877826
12,77973,77773,13131,168876,155745,0.500645285562939,0.499361135188931,0.00128415037400881
13,57868,38971,5807,102581,96839,0.59756916118506,0.40243083881494,0.19513832237012
14,41653,25557,2996,69790,67210,0.619744085701532,0.380255914298468,0.239488171403065
15,22548,33367,3451,59141,55915,0.40325494053474,0.59674505946526,-0.19349011893052
16,2604,7186,690,10452,9790,0.265985699693565,0.734014300306435,-0.46802860061287
