CD,Zohran Kwame Mamdani (Democratic),Curtis A. Sliwa (Republican),Irene Estrada (Conservative),Zohran Kwame Mamdani (Working Families),Curtis A. Sliwa (Protect Animals),Eric L. Adams (Safe&Affordable/EndAntiSemitism),Joseph Hernandez (Quality of Life),Andrew M. Cuomo (Fight and Deliver),Jim Walden (Integrity)
3.0,14728,7575,94,1474,476,100,35,28392,61
5.0,69352,11746,239,5339,739,674,98,63997,126
6.0,52066,15056,265,7623,1150,386,111,76375,179
7.0,100907,9399,200,25160,749,650,116,49974,160
8.0,74244,9901,245,13676,725,745,109,68130,122
9.0,82918,5204,173,18677,471,782,81,84668,137
10.0,110064,7073,215,28067,805,606,121,81719,325
11.0,47603,38035,255,6028,1975,402,80,108197,190
12.0,110704,8415,188,16149,903,397,137,140579,410
13.0,89301,5255,248,17111,502,622,150,50914,187
14.0,65632,12065,260,11698,786,384,111,49455,148
15.0,53398,5938,229,5636,446,515,92,44894,110
16.0,8039,685,32,457,63,119,12,7700,15
