ED,Reported *,Zohran Kwame Mamdani (Democratic),Curtis A. Sliwa (Republican),Irene Estrada (Conservative),Zohran Kwame Mamdani (Working Families),Curtis A. Sliwa (Protect Animals),Eric L. Adams (Safe&Affordable/EndAntiSemitism),Joseph Hernandez (Quality of Life),Andrew M. Cuomo (Fight and Deliver),Jim Walden (Integrity),WRITE-IN,AD
1,99.00%,66,332,5,12,14,1,0,662,2,0,23
2,99.00%,67,353,4,8,16,1,1,627,1,0,23
3,99.00%,28,148,0,5,9,0,1,184,0,1,23
4,99.00%,91,215,2,11,11,3,0,757,0,2,23
5,99.00%,70,259,0,12,15,1,0,731,0,3,23
6,99.00%,105,281,1,13,10,2,1,660,0,1,23
7,99.00%,131,351,3,17,11,4,4,629,1,7,23
8,50.00%,67,119,0,13,9,0,0,167,2,0,23
9,50.00%,68,54,0,8,1,0,0,97,0,1,23
10,99.00%,150,289,0,14,13,0,0,474,3,2,23
11,99.00%,240,77,1,29,5,3,0,234,1,0,23
12,83.33%,79,20,0,16,3,2,0,51,1,0,23
13,83.33%,170,74,1,38,7,0,0,168,0,1,23
14,99.00%,143,122,2,11,12,1,1,269,0,1,23
15,83.33%,114,106,1,13,10,1,1,252,1,1,23
16,99.00%,88,71,0,13,5,2,0,156,2,0,23
17,99.00%,56,197,2,6,12,2,0,318,0,1,23
18,99.00%,286,65,0,34,4,4,0,239,1,0,23
19,99.00%,40,4,1,5,0,0,0,25,0,1,23
20,99.00%,117,11,1,11,0,2,0,68,0,1,23
21,99.00%,103,10,2,8,6,2,1,239,1,1,23
22,99.00%,84,9,0,3,0,0,0,65,0,0,23
23,99.00%,69,28,0,1,1,6,2,197,2,0,23
24,99.00%,106,11,1,9,3,2,0,97,0,0,23
25,99.00%,149,24,2,7,3,6,1,384,0,0,23
26,99.00%,97,18,3,2,1,6,0,198,0,1,23
27,99.00%,52,15,0,4,0,3,0,680,1,2,23
28,99.00%,137,21,1,8,3,0,0,364,0,1,23
29,99.00%,7,12,0,2,0,2,0,839,0,0,23
30,99.00%,83,23,0,4,3,2,1,603,0,0,23
31,99.00%,186,27,0,12,0,2,0,452,0,0,23
32,99.00%,203,35,1,9,4,4,0,573,0,1,23
33,99.00%,80,255,0,11,11,0,0,606,0,0,23
34,99.00%,78,277,0,7,14,0,0,479,0,0,23
35,99.00%,56,253,0,8,8,0,0,500,0,0,23
36,99.00%,111,261,1,16,6,0,0,483,0,1,23
37,99.00%,148,273,1,23,14,1,0,389,0,3,23
38,99.00%,81,212,1,10,8,0,1,390,0,0,23
39,99.00%,23,3,0,1,0,0,0,16,0,0,23
40,99.00%,187,47,0,12,1,0,0,142,0,3,23
41,99.00%,142,99,0,23,12,0,1,243,0,0,23
42,99.00%,129,57,2,16,5,0,0,156,0,1,23
43,99.00%,12,0,0,0,0,0,0,7,0,0,23
44,99.00%,186,211,3,11,8,0,1,526,1,1,23
45,99.00%,87,149,0,8,10,1,0,333,0,1,23
46,99.00%,323,96,1,48,4,0,2,318,1,0,23
47,99.00%,142,131,0,22,4,1,1,238,0,2,23
48,99.00%,166,145,1,20,12,0,0,297,0,0,23
49,99.00%,218,119,1,24,9,0,0,313,0,0,23
50,99.00%,137,43,0,14,1,0,0,117,0,0,23
51,85.71%,168,47,1,17,4,1,1,147,0,2,23
52,85.71%,141,22,0,8,1,0,0,77,0,1,23
53,99.00%,462,36,1,31,0,1,0,136,0,0,23
54,99.00%,394,43,0,34,1,0,0,139,0,0,23
55,99.00%,115,20,0,13,3,0,0,64,1,0,23
56,99.00%,110,23,1,6,1,1,0,83,0,0,23
57,99.00%,146,42,0,11,3,2,0,96,0,0,23
58,99.00%,45,154,0,13,9,1,0,226,0,1,23
59,99.00%,25,111,0,2,2,0,0,254,0,0,23
60,99.00%,144,122,1,7,4,1,1,200,0,0,23
61,99.00%,0,0,0,0,0,0,0,0,0,0,23
62,85.71%,197,54,0,21,2,0,0,179,2,0,23
63,99.00%,128,21,2,18,0,1,0,116,0,0,23
64,99.00%,58,8,0,7,0,0,1,48,0,0,23
65,99.00%,194,17,1,12,0,2,0,128,1,2,23
66,99.00%,146,6,3,9,0,5,1,191,0,1,23
67,99.00%,0,0,0,0,0,0,0,0,0,0,23
68,99.00%,0,0,0,0,0,0,0,0,0,0,23
69,99.00%,0,0,0,0,0,0,0,0,0,0,23
70,60.00%,0,0,0,0,0,0,0,0,0,0,23
71,99.00%,0,0,0,0,0,0,0,0,0,0,23
72,99.00%,0,0,0,0,0,0,0,0,0,0,23
73,66.67%,0,0,0,0,0,0,0,0,0,0,23
74,99.00%,0,0,0,0,0,0,0,0,0,0,23
1,99.00%,90,13,0,5,3,0,0,40,1,0,24
2,99.00%,104,14,0,10,2,0,1,87,0,2,24
3,99.00%,270,41,5,19,2,0,2,153,0,0,24
4,99.00%,186,32,0,25,0,1,0,114,0,0,24
5,99.00%,159,18,0,8,1,1,0,136,0,0,24
6,99.00%,244,43,2,18,0,1,0,148,0,0,24
7,99.00%,168,36,0,26,2,2,0,110,0,1,24
8,87.50%,228,35,0,16,1,0,0,114,0,1,24
9,99.00%,157,11,0,7,2,0,0,99,0,0,24
10,99.00%,228,25,0,15,2,2,0,138,1,1,24
11,99.00%,201,18,0,6,2,1,0,114,1,1,24
12,99.00%,207,18,1,16,1,1,0,91,0,1,24
13,99.00%,264,21,2,26,5,1,0,158,0,0,24
14,99.00%,224,45,1,25,4,1,0,160,0,0,24
15,99.00%,216,24,1,13,5,0,0,148,0,0,24
16,99.00%,119,13,0,6,0,1,0,84,0,0,24
17,57.14%,17,0,0,3,0,0,0,0,0,0,24
18,99.00%,156,33,0,15,4,1,0,86,0,0,24
19,99.00%,221,39,1,31,2,1,0,127,0,0,24
20,99.00%,65,5,1,4,0,0,0,57,0,0,24
21,99.00%,117,51,1,30,2,2,0,194,0,0,24
22,99.00%,16,9,0,3,1,0,0,47,0,0,24
23,99.00%,155,13,0,11,0,0,1,111,0,0,24
24,99.00%,135,26,1,14,0,1,0,198,1,4,24
25,99.00%,63,22,0,15,2,0,0,72,0,0,24
26,99.00%,157,29,1,12,2,0,0,100,1,0,24
27,99.00%,237,8,0,9,0,0,0,62,0,0,24
28,99.00%,121,29,0,32,0,2,0,130,0,0,24
29,99.00%,246,36,0,17,5,0,0,149,0,0,24
30,99.00%,188,27,2,23,2,2,0,180,0,0,24
31,99.00%,264,54,0,22,2,2,0,240,1,1,24
32,99.00%,244,25,0,7,1,3,0,139,0,0,24
33,99.00%,7,2,0,0,1,0,0,27,0,0,24
34,57.14%,16,1,0,4,0,0,0,8,0,0,24
35,99.00%,142,9,0,10,1,0,0,71,0,0,24
36,99.00%,328,24,2,21,2,1,1,175,0,1,24
37,99.00%,188,14,0,20,1,1,0,54,1,0,24
38,99.00%,430,34,2,69,4,4,0,232,1,2,24
39,99.00%,228,41,1,24,4,0,0,224,0,1,24
40,99.00%,205,20,0,20,1,0,0,108,0,2,24
41,57.14%,61,8,0,8,0,0,0,18,0,0,24
42,99.00%,313,9,0,11,1,1,0,83,0,0,24
43,99.00%,417,54,1,28,4,0,0,148,0,1,24
44,99.00%,317,8,0,30,0,1,0,39,0,0,24
45,99.00%,68,4,0,5,0,0,0,45,0,0,24
46,99.00%,392,38,0,26,4,3,0,190,1,1,24
47,99.00%,298,33,1,40,1,2,1,220,2,1,24
48,99.00%,289,25,0,20,5,3,0,223,0,2,24
49,99.00%,82,41,0,8,5,0,0,941,0,1,24
50,99.00%,18,19,0,4,2,0,0,279,0,0,24
51,99.00%,295,49,0,23,2,2,0,440,0,4,24
52,99.00%,359,36,0,18,1,3,0,347,0,1,24
53,99.00%,334,22,1,19,6,9,0,326,1,3,24
54,99.00%,59,8,0,6,0,1,0,37,0,0,24
55,99.00%,199,17,0,21,1,1,0,154,0,0,24
56,99.00%,240,67,1,24,7,0,2,275,0,4,24
57,99.00%,223,65,0,15,4,2,0,176,1,0,24
58,99.00%,151,58,0,21,2,0,1,543,1,1,24
59,99.00%,122,58,0,15,4,0,1,465,2,1,24
60,99.00%,210,117,1,28,6,2,0,610,2,3,24
61,83.33%,222,93,1,28,12,1,0,446,1,1,24
62,83.33%,166,106,4,19,13,1,0,549,3,0,24
63,83.33%,83,68,1,18,1,1,0,208,1,0,24
64,99.00%,164,114,1,16,5,1,0,381,0,1,24
65,99.00%,577,24,1,47,2,0,0,157,0,0,24
66,99.00%,0,0,0,0,0,0,0,0,0,0,24
1,99.00%,345,50,1,48,6,2,0,353,6,1,25
2,99.00%,282,44,0,58,8,3,1,323,1,4,25
3,99.00%,45,12,0,7,0,1,1,134,0,0,25
4,99.00%,143,34,2,18,0,3,2,133,0,0,25
5,99.00%,308,54,1,47,10,0,3,331,0,3,25
6,99.00%,182,42,0,30,2,1,1,283,1,1,25
7,99.00%,28,5,0,3,2,1,0,57,0,0,25
8,99.00%,20,5,0,0,1,0,0,22,0,0,25
9,99.00%,154,35,2,25,2,1,0,412,1,1,25
10,99.00%,45,13,0,2,2,0,0,65,0,0,25
11,99.00%,89,27,0,16,7,0,0,485,1,0,25
12,99.00%,169,52,1,23,6,0,0,652,1,1,25
13,99.00%,170,49,2,26,6,2,0,519,1,2,25
14,99.00%,141,36,3,23,5,3,1,453,0,0,25
15,99.00%,116,44,0,13,2,0,0,318,1,2,25
16,99.00%,108,36,0,15,0,1,0,466,2,1,25
17,99.00%,148,53,1,15,6,2,0,515,1,0,25
18,99.00%,272,52,1,28,10,2,0,344,0,3,25
19,99.00%,334,49,0,27,5,0,0,271,1,0,25
20,99.00%,308,48,0,27,6,0,1,232,2,3,25
21,99.00%,191,51,0,29,1,4,0,220,1,0,25
22,99.00%,175,59,2,20,5,1,1,258,1,2,25
23,99.00%,106,25,0,12,4,1,0,219,1,2,25
24,99.00%,117,53,1,11,5,0,0,241,0,2,25
25,99.00%,189,101,3,31,6,0,3,375,0,1,25
26,99.00%,154,96,1,25,7,1,0,408,1,1,25
27,99.00%,194,67,0,17,5,2,1,344,2,0,25
28,99.00%,190,59,1,16,5,2,1,240,0,2,25
29,99.00%,188,63,3,16,2,0,0,396,1,1,25
30,99.00%,136,61,0,20,4,1,0,340,0,0,25
