GEOID,votes_Biden_20,votes_Trump_20,votes_total_20,margin_Biden_20,votes_Curran_21,pct_Curran_21,margin_Curran_21_ifwon,votes_Blakeman_21,votes_total_21,pct_Blakeman_21,margin_Blakeman_21_ifwon,margin_21,margin_Curran_21,pct_Biden_20,pct_Trump_20,margin_Curran_21_relto_Biden_20,Town
36059-0220036,213,351,570,-24.2,84,37,0,143,227,63,25.99,-26,-26,37.36842105,61.57894737,-0.368421053,2
36059-0219025,85,12,98,74.5,26,96.3,92.59,1,27,3.7,0,92.6,92.6,86.73469388,12.24489796,9.565306122,2
36059-0416102,563,340,910,24.5,173,61.79,23.57,107,280,38.21,0,23.58,23.58,61.86813187,37.36263736,-0.078131868,4
36059-0416088,347,239,596,18.1,110,51.89,3.77,102,212,48.11,0,3.78,3.78,58.22147651,40.10067114,-6.33147651,4
36059-0416064,373,453,838,-9.5,125,39.56,0,191,316,60.44,20.89,-20.88,-20.88,44.51073986,54.05727924,-4.950739857,4
36059-0416062,422,301,738,16.4,126,60,20,84,210,40,0,20,20,57.18157182,40.78590786,2.818428184,4
36059-0416054,413,189,614,36.5,158,62.45,24.9,95,253,37.55,0,24.9,24.9,67.26384365,30.78175896,-4.813843648,4
36059-0222057,214,395,616,-29.4,74,28.79,0,183,257,71.21,42.41,-42.42,-42.42,34.74025974,64.12337662,-5.95025974,2
36059-0222040,644,195,849,52.9,173,66.8,33.59,86,259,33.2,0,33.6,33.6,75.85394582,22.96819788,-9.053945819,2
36059-0221108,256,308,570,-9.1,96,36.36,0,168,264,63.64,27.27,-27.28,-27.28,44.9122807,54.03508772,-8.552280702,2
36059-0217022,343,345,699,-0.3,142,50.53,1.07,139,281,49.47,0,1.06,1.06,49.07010014,49.35622318,1.459899857,2
36059-0214093,330,477,813,-18.1,141,35.25,0,259,400,64.75,29.5,-29.5,-29.5,40.5904059,58.67158672,-5.340405904,2
36059-0113017,389,159,554,41.5,162,62.79,25.58,96,258,37.21,0,25.58,25.58,70.2166065,28.70036101,-7.426606498,1
36059-0113002,393,290,691,14.9,201,57.1,14.2,151,352,42.9,0,14.2,14.2,56.87409551,41.96816208,0.225904486,1
36059-0113003,289,182,477,22.4,96,56.14,12.28,75,171,43.86,0,12.28,12.28,60.5870021,38.15513627,-4.447002096,1
36059-0113010,392,366,769,3.4,218,57.22,14.44,163,381,42.78,0,14.44,14.44,50.97529259,47.59427828,6.244707412,1
36059-0113011,445,342,796,12.9,236,60.51,21.03,154,390,39.49,0,21.02,21.02,55.90452261,42.96482412,4.605477387,1
36059-0217005,415,435,865,-2.3,144,41.98,0,199,343,58.02,16.03,-16.04,-16.04,47.97687861,50.28901734,-5.996878613,2
36059-0113006,450,277,734,23.6,150,55.97,11.94,118,268,44.03,0,11.94,11.94,61.30790191,37.73841962,-5.337901907,1
36059-0113004,445,406,864,4.5,214,55.73,11.46,170,384,44.27,0,11.46,11.46,51.50462963,46.99074074,4.22537037,1
36059-0113014,494,224,734,36.8,226,67.06,34.12,111,337,32.94,0,34.12,34.12,67.30245232,30.51771117,-0.242452316,1
36059-0113005,343,258,607,14,172,53.42,6.83,150,322,46.58,0,6.84,6.84,56.50741351,42.50411862,-3.087413509,1
36059-0113019,283,290,581,-1.2,181,56.21,12.42,141,322,43.79,0,12.42,12.42,48.7091222,49.91394148,7.500877797,1
36059-0214019,367,524,905,-17.3,136,36.66,0,235,371,63.34,26.68,-26.68,-26.68,40.55248619,57.90055249,-3.892486188,2
36059-0214111,230,223,460,1.5,73,40.56,0,107,180,59.44,18.89,-18.88,-18.88,50,48.47826087,-9.44,2
36059-0113007,412,179,600,38.8,158,67.52,35.04,76,234,32.48,0,35.04,35.04,68.66666667,29.83333333,-1.146666667,1
36059-0113008,423,410,844,1.5,222,53.75,7.51,191,413,46.25,0,7.5,7.5,50.11848341,48.57819905,3.631516588,1
36059-0113009,274,265,547,1.6,145,52.35,4.69,132,277,47.65,0,4.7,4.7,50.09140768,48.44606947,2.258592322,1
36059-0113015,338,336,684,0.3,209,54.01,8.01,178,387,45.99,0,8.02,8.02,49.41520468,49.12280702,4.594795322,1
36059-0113012,256,197,459,12.9,109,56.19,12.37,85,194,43.81,0,12.38,12.38,55.77342048,42.91938998,0.416579521,1
36059-0113013,342,352,707,-1.4,172,50.89,1.78,166,338,49.11,0,1.78,1.78,48.37340877,49.78783593,2.516591231,1
36059-0113016,286,414,711,-18,148,44.85,0,182,330,55.15,10.3,-10.3,-10.3,40.22503516,58.2278481,4.624964838,1
36059-0113018,303,243,550,10.9,168,56.76,13.51,128,296,43.24,0,13.52,13.52,55.09090909,44.18181818,1.669090909,1
36059-0214037,271,475,761,-26.8,125,32.81,0,256,381,67.19,34.38,-34.38,-34.38,35.61103811,62.41787122,-2.801038108,2
36059-0214059,187,265,458,-17,88,42.93,0,117,205,57.07,14.15,-14.14,-14.14,40.82969432,57.86026201,2.100305677,2
36059-0214060,356,516,892,-17.9,150,36.14,0,262,415,63.13,26.99,-26.99,-26.99,39.9103139,57.84753363,-3.770313901,2
36059-0214001,473,457,948,1.7,181,45.59,0,216,397,54.41,8.82,-8.82,-8.82,49.89451477,48.20675105,-4.304514768,2
36059-0214002,261,239,509,4.3,99,46.48,0,114,213,53.52,7.04,-7.04,-7.04,51.27701375,46.95481336,-4.797013752,2
36059-0214046,374,389,775,-1.9,143,43.87,0,183,326,56.13,12.27,-12.26,-12.26,48.25806452,50.19354839,-4.388064516,2
36059-0214048,548,739,1302,-14.7,260,44.37,0,326,586,55.63,11.26,-11.26,-11.26,42.0890937,56.75883257,2.280906298,2
36059-0214049,304,303,623,0.2,125,46.3,0,145,270,53.7,7.41,-7.4,-7.4,48.79614767,48.63563403,-2.496147673,2
36059-0214003,398,491,905,-10.3,182,45.61,0,216,399,54.14,8.52,-8.53,-8.53,43.97790055,54.25414365,1.632099448,2
36059-0214013,275,437,719,-22.5,115,36.62,0,199,314,63.38,26.75,-26.76,-26.76,38.24756606,60.77885953,-1.627566064,2
36059-0214036,359,523,895,-18.3,175,38.29,0,282,457,61.71,23.41,-23.42,-23.42,40.11173184,58.43575419,-1.821731844,2
36059-0214040,372,505,896,-14.8,211,46.07,0,247,458,53.93,7.86,-7.86,-7.86,41.51785714,56.36160714,4.552142857,2
36059-0214047,405,542,964,-14.2,145,36.25,0,255,400,63.75,27.5,-27.5,-27.5,42.01244813,56.22406639,-5.762448133,2
36059-0214061,306,328,650,-3.4,134,45.58,0,160,294,54.42,8.84,-8.84,-8.84,47.07692308,50.46153846,-1.496923077,2
36059-0214004,260,359,625,-15.8,117,41.2,0,167,284,58.8,17.61,-17.6,-17.6,41.6,57.44,-0.4,2
36059-0214008,354,399,766,-5.9,140,46.05,0,164,304,53.95,7.89,-7.9,-7.9,46.21409922,52.08877285,-0.164099217,2
36059-0214005,639,698,1357,-4.3,234,40.55,0,341,577,59.1,18.54,-18.55,-18.55,47.08916728,51.43699337,-6.539167281,2
36059-0214009,72,27,99,45.5,21,95.45,90.91,0,22,0,0,95.45,95.45,72.72727273,27.27272727,22.72272727,2
36059-0214006,10,0,11,90.9,4,100,100,0,4,0,0,100,100,90.90909091,0,9.090909091,2
36059-0214052,201,221,428,-4.7,80,45.2,0,97,177,54.8,9.6,-9.6,-9.6,46.96261682,51.63551402,-1.762616822,2
36059-0214007,267,381,664,-17.2,102,40.96,0,147,249,59.04,18.07,-18.08,-18.08,40.21084337,57.37951807,0.749156627,2
36059-0214010,670,513,1195,13.1,277,56.3,12.6,215,492,43.7,0,12.6,12.6,56.06694561,42.92887029,0.233054393,2
36059-0214011,412,408,831,0.5,164,45.3,0,198,362,54.7,9.39,-9.4,-9.4,49.5788207,49.09747292,-4.278820698,2
36059-0214012,362,491,866,-14.9,181,46.89,0,205,386,53.11,6.22,-6.22,-6.22,41.80138568,56.69745958,5.088614319,2
36059-0214027,431,502,944,-7.5,145,40.39,0,214,359,59.61,19.22,-19.22,-19.22,45.65677966,53.1779661,-5.266779661,2
36059-0214014,260,348,617,-14.3,98,36.3,0,172,270,63.7,27.41,-27.4,-27.4,42.13938412,56.40194489,-5.839384117,2
36059-0214022,346,462,818,-14.2,149,40.82,0,216,365,59.18,18.36,-18.36,-18.36,42.29828851,56.4792176,-1.478288509,2
36059-0214033,317,570,900,-28.1,144,34.04,0,279,423,65.96,31.91,-31.92,-31.92,35.22222222,63.33333333,-1.182222222,2
36059-0214039,269,225,499,8.8,112,45.16,0,136,248,54.84,9.68,-9.68,-9.68,53.90781563,45.09018036,-8.747815631,2
36059-0214063,208,190,403,4.5,71,43.83,0,91,162,56.17,12.35,-12.34,-12.34,51.61290323,47.14640199,-7.782903226,2
36059-0214015,302,431,742,-17.4,125,40.32,0,185,310,59.68,19.35,-19.36,-19.36,40.70080863,58.08625337,-0.380808625,2
36059-0214109,314,394,718,-11.1,118,40.27,0,175,293,59.73,19.45,-19.46,-19.46,43.73259053,54.87465181,-3.462590529,2
36059-0214110,85,115,204,-14.7,34,37.36,0,57,91,62.64,25.27,-25.28,-25.28,41.66666667,56.37254902,-4.306666667,2
36059-0214016,220,346,572,-22,73,31.6,0,158,231,68.4,36.8,-36.8,-36.8,38.46153846,60.48951049,-6.861538462,2
36059-0214021,142,252,397,-27.7,44,28.57,0,110,154,71.43,42.86,-42.86,-42.86,35.76826196,63.47607053,-7.198261965,2
36059-0214017,281,350,646,-10.7,106,39.85,0,160,266,60.15,20.3,-20.3,-20.3,43.49845201,54.17956656,-3.648452012,2
36059-0214018,267,294,571,-4.7,102,43.78,0,131,233,56.22,12.45,-12.44,-12.44,46.76007005,51.48861646,-2.980070053,2
36059-0214065,350,212,573,24.1,154,62.35,24.7,93,247,37.65,0,24.7,24.7,61.08202443,36.9982548,1.267975567,2
36059-0214020,160,312,479,-31.7,77,33.62,0,152,229,66.38,32.75,-32.76,-32.76,33.40292276,65.13569937,0.217077244,2
36059-0214023,209,373,591,-27.7,78,28.89,0,192,270,71.11,42.22,-42.22,-42.22,35.36379019,63.11336717,-6.473790186,2
36059-0214058,278,380,665,-15.3,135,41.28,0,192,327,58.72,17.43,-17.44,-17.44,41.80451128,57.14285714,-0.524511278,2
36059-0214024,201,332,537,-24.4,97,38.8,0,153,250,61.2,22.4,-22.4,-22.4,37.4301676,61.82495345,1.369832402,2
36059-0214025,164,361,537,-36.7,86,35.25,0,158,244,64.75,29.51,-29.5,-29.5,30.54003724,67.22532588,4.709962756,2
36059-0214026,423,502,942,-8.4,192,46.15,0,224,416,53.85,7.69,-7.7,-7.7,44.9044586,53.29087049,1.245541401,2
36059-0214028,387,558,962,-17.8,157,38.01,0,256,413,61.99,23.97,-23.98,-23.98,40.22869023,58.004158,-2.218690229,2
36059-0214101,317,563,892,-27.6,128,32.74,0,263,391,67.26,34.53,-34.52,-34.52,35.53811659,63.11659193,-2.798116592,2
36059-0214029,242,425,676,-27.1,105,33.65,0,206,312,66.03,32.37,-32.38,-32.38,35.79881657,62.86982249,-2.148816568,2
36059-0214030,320,597,935,-29.6,156,33.91,0,303,460,65.87,31.96,-31.96,-31.96,34.22459893,63.85026738,-0.31459893,2
36059-0214035,229,343,579,-19.7,103,38.58,0,164,267,61.42,22.85,-22.84,-22.84,39.55094991,59.24006908,-0.970949914,2
36059-0214042,279,328,614,-8,98,38.89,0,154,252,61.11,22.22,-22.22,-22.22,45.43973941,53.42019544,-6.549739414,2
36059-0214031,260,404,683,-21.1,111,38.14,0,180,291,61.86,23.71,-23.72,-23.72,38.06734993,59.15080527,0.072650073,2
36059-0214032,281,573,867,-33.7,157,37.83,0,258,415,62.17,24.34,-24.34,-24.34,32.4106113,66.0899654,5.419388697,2
36059-0214038,335,512,872,-20.3,146,34.76,0,274,420,65.24,30.48,-30.48,-30.48,38.41743119,58.71559633,-3.657431193,2
36059-0214087,280,459,755,-23.7,142,39.44,0,218,360,60.56,21.11,-21.12,-21.12,37.08609272,60.79470199,2.353907285,2
36059-0214034,350,530,901,-20,152,32.83,0,311,463,67.17,34.34,-34.34,-34.34,38.84572697,58.82352941,-6.01572697,2
36059-0214041,405,543,965,-14.3,182,40.18,0,271,453,59.82,19.65,-19.64,-19.64,41.96891192,56.26943005,-1.788911917,2
36059-0214098,288,434,740,-19.7,115,33.53,0,228,343,66.47,32.94,-32.94,-32.94,38.91891892,58.64864865,-5.388918919,2
36059-0214099,338,517,864,-20.7,137,35.31,0,251,388,64.69,29.38,-29.38,-29.38,39.12037037,59.83796296,-3.81037037,2
36059-0214104,262,499,775,-30.6,102,29.39,0,245,347,70.61,41.21,-41.22,-41.22,33.80645161,64.38709677,-4.416451613,2
36059-0214043,332,236,572,16.8,140,55.78,11.55,111,251,44.22,0,11.56,11.56,58.04195804,41.25874126,-2.261958042,2
36059-0214044,585,589,1193,-0.3,271,52.02,4.22,249,521,47.79,0,4.23,4.23,49.03604359,49.37133277,2.983956412,2
36059-0214045,394,417,823,-2.8,172,50.29,0.58,170,342,49.71,0,0.58,0.58,47.87363305,50.66828676,2.41636695,2
36059-0215011,13,16,29,-10.3,0,0,0,2,2,100,100,-100,-100,44.82758621,55.17241379,-44.82758621,2
36059-0214050,455,519,986,-6.5,187,43.19,0,246,433,56.81,13.63,-13.62,-13.62,46.14604462,52.63691684,-2.956044625,2
36059-0214069,323,377,707,-7.6,124,41.33,0,175,300,58.33,17,-17,-17,45.68599717,53.32390382,-4.355997171,2
36059-0214070,279,281,573,-0.3,122,44.85,0,149,272,54.78,9.93,-9.93,-9.93,48.69109948,49.04013962,-3.841099476,2
36059-0214051,298,328,635,-4.7,141,45.78,0,167,308,54.22,8.44,-8.44,-8.44,46.92913386,51.65354331,-1.149133858,2
36059-0214055,341,441,801,-12.5,166,44.39,0,207,374,55.35,10.96,-10.96,-10.96,42.57178527,55.05617978,1.818214732,2
36059-0214056,314,372,695,-8.3,116,37.91,0,190,306,62.09,24.18,-24.18,-24.18,45.17985612,53.52517986,-7.269856115,2
36059-0214053,215,257,482,-8.7,89,38.86,0,139,229,60.7,21.83,-21.84,-21.84,44.60580913,53.31950207,-5.745809129,2
36059-0214062,219,275,501,-11.2,88,39.46,0,135,223,60.54,21.08,-21.08,-21.08,43.71257485,54.89021956,-4.25257485,2
36059-0214064,577,417,1007,15.9,256,55.53,11.06,205,461,44.47,0,11.06,11.06,57.29890765,41.4101291,-1.768907646,2
36059-0214054,216,325,555,-19.6,87,33.72,0,171,258,66.28,32.56,-32.56,-32.56,38.91891892,58.55855856,-5.198918919,2
36059-0214057,279,442,734,-22.2,135,40.91,0,193,330,58.48,17.58,-17.57,-17.57,38.01089918,60.21798365,2.899100817,2
36059-0215009,421,356,790,8.2,138,47.1,0,155,293,52.9,5.8,-5.8,-5.8,53.29113924,45.06329114,-6.191139241,2
36059-0214072,280,232,520,9.2,105,52.76,5.53,94,199,47.24,0,5.52,5.52,53.84615385,44.61538462,-1.086153846,2
36059-0214067,323,310,640,2,120,46.88,0,134,256,52.34,5.47,-5.46,-5.46,50.46875,48.4375,-3.58875,2
36059-0214068,182,196,386,-3.6,68,45.03,0,83,151,54.97,9.93,-9.94,-9.94,47.15025907,50.77720207,-2.120259067,2
36059-0214071,420,408,843,1.4,149,43.57,0,193,342,56.43,12.87,-12.86,-12.86,49.82206406,48.39857651,-6.252064057,2
36059-0214073,399,28,431,86.1,101,87.07,74.14,15,116,12.93,0,74.14,74.14,92.57540603,6.496519722,-5.505406032,2
36059-0214108,565,48,616,83.9,154,90.59,81.76,15,170,8.82,0,81.77,81.77,91.72077922,7.792207792,-1.130779221,2
36059-0215001,287,198,488,18.2,81,53.64,7.28,70,151,46.36,0,7.28,7.28,58.81147541,40.57377049,-5.17147541,2
36059-0215007,337,358,715,-2.9,134,46.53,0,154,288,53.47,6.94,-6.94,-6.94,47.13286713,50.06993007,-0.602867133,2
36059-0214074,606,427,1051,17,261,58.78,17.57,183,444,41.22,0,17.56,17.56,57.65937203,40.62797336,1.120627973,2
36059-0214075,452,450,911,0.2,152,44.57,0,189,341,55.43,10.85,-10.86,-10.86,49.61580681,49.39626784,-5.045806806,2
36059-0214079,455,305,767,19.6,216,57.29,14.59,161,377,42.71,0,14.58,14.58,59.3220339,39.76531943,-2.032033898,2
36059-0214084,272,193,476,16.6,93,49.47,0,95,188,50.53,1.06,-1.06,-1.06,57.14285714,40.54621849,-7.672857143,2
36059-0214085,352,286,643,10.3,124,47.69,0,136,260,52.31,4.62,-4.62,-4.62,54.74339036,44.47900467,-7.053390358,2
36059-0214086,422,420,854,0.2,133,41.82,0,185,318,58.18,16.35,-16.36,-16.36,49.41451991,49.18032787,-7.594519906,2
36059-0214076,446,267,720,24.9,155,58.05,16.1,112,267,41.95,0,16.1,16.1,61.94444444,37.08333333,-3.894444444,2
36059-0214080,381,312,697,9.9,121,48.59,0,128,249,51.41,2.81,-2.82,-2.82,54.66284075,44.76327116,-6.072840746,2
36059-0214083,368,303,674,9.6,99,54.7,9.39,82,181,45.3,0,9.4,9.4,54.59940653,44.95548961,0.100593472,2
36059-0214077,391,210,609,29.7,136,60.99,21.97,87,223,39.01,0,21.98,21.98,64.20361248,34.48275862,-3.213612479,2
