"","GEOID","votes_Biden_20","votes_Trump_20","votes_total_20","margin_Biden_20","votes_Curran_21","pct_Curran_21","margin_Curran_21_ifwon","votes_Blakeman_21","votes_total_21","pct_Blakeman_21","margin_Blakeman_21_ifwon","margin_21","margin_Curran_21","pct_Biden_20","pct_Trump_20","margin_Curran_21_relto_Biden_20"
"1","36059-0220036",213,351,570,-24.2,84,37,0,143,227,63,25.99,-26,-26,37.3684210526316,61.5789473684211,-0.368421052631582
"2","36059-0219025",85,12,98,74.5,26,96.3,92.59,1,27,3.7,0,92.6,92.6,86.734693877551,12.2448979591837,9.56530612244897
"3","36059-0416102",563,340,910,24.5,173,61.79,23.57,107,280,38.21,0,23.58,23.58,61.8681318681319,37.3626373626374,-0.0781318681318695
"4","36059-0416088",347,239,596,18.1,110,51.89,3.77,102,212,48.11,0,3.78,3.78,58.2214765100671,40.1006711409396,-6.33147651006711
"5","36059-0416064",373,453,838,-9.5,125,39.56,0,191,316,60.44,20.89,-20.88,-20.88,44.5107398568019,54.0572792362768,-4.95073985680191
"6","36059-0416062",422,301,738,16.4,126,60,20,84,210,40,0,20,20,57.1815718157182,40.7859078590786,2.81842818428184
"7","36059-0416054",413,189,614,36.5,158,62.45,24.9,95,253,37.55,0,24.9,24.9,67.2638436482085,30.7817589576547,-4.81384364820846
"8","36059-0222057",214,395,616,-29.4,74,28.79,0,183,257,71.21,42.41,-42.42,-42.42,34.7402597402597,64.1233766233766,-5.95025974025974
"9","36059-0222040",644,195,849,52.9,173,66.8,33.59,86,259,33.2,0,33.6,33.6,75.8539458186101,22.9681978798587,-9.05394581861013
"10","36059-0221108",256,308,570,-9.1,96,36.36,0,168,264,63.64,27.27,-27.28,-27.28,44.9122807017544,54.0350877192982,-8.55228070175438
"11","36059-0217022",343,345,699,-0.3,142,50.53,1.07,139,281,49.47,0,1.06,1.06,49.0701001430615,49.3562231759657,1.45989985693848
"12","36059-0214093",330,477,813,-18.1,141,35.25,0,259,400,64.75,29.5,-29.5,-29.5,40.590405904059,58.6715867158672,-5.34040590405904
"13","36059-0113017",389,159,554,41.5,162,62.79,25.58,96,258,37.21,0,25.58,25.58,70.2166064981949,28.7003610108303,-7.42660649819495
"14","36059-0113002",393,290,691,14.9,201,57.1,14.2,151,352,42.9,0,14.2,14.2,56.8740955137482,41.9681620839363,0.225904486251814
"15","36059-0113003",289,182,477,22.4,96,56.14,12.28,75,171,43.86,0,12.28,12.28,60.5870020964361,38.1551362683438,-4.44700209643606
"16","36059-0113010",392,366,769,3.4,218,57.22,14.44,163,381,42.78,0,14.44,14.44,50.9752925877763,47.594278283485,6.24470741222367
"17","36059-0113011",445,342,796,12.9,236,60.51,21.03,154,390,39.49,0,21.02,21.02,55.9045226130653,42.964824120603,4.60547738693467
"18","36059-0217005",415,435,865,-2.3,144,41.98,0,199,343,58.02,16.03,-16.04,-16.04,47.9768786127168,50.2890173410405,-5.99687861271676
"19","36059-0113006",450,277,734,23.6,150,55.97,11.94,118,268,44.03,0,11.94,11.94,61.3079019073569,37.7384196185286,-5.33790190735695
"20","36059-0113004",445,406,864,4.5,214,55.73,11.46,170,384,44.27,0,11.46,11.46,51.5046296296296,46.9907407407407,4.22537037037037
"21","36059-0113014",494,224,734,36.8,226,67.06,34.12,111,337,32.94,0,34.12,34.12,67.3024523160763,30.5177111716621,-0.242452316076296
"22","36059-0113005",343,258,607,14,172,53.42,6.83,150,322,46.58,0,6.84,6.84,56.507413509061,42.504118616145,-3.08741350906095
"23","36059-0113019",283,290,581,-1.2,181,56.21,12.42,141,322,43.79,0,12.42,12.42,48.7091222030981,49.9139414802065,7.5008777969019
"24","36059-0214019",367,524,905,-17.3,136,36.66,0,235,371,63.34,26.68,-26.68,-26.68,40.5524861878453,57.9005524861878,-3.89248618784531
"25","36059-0214111",230,223,460,1.5,73,40.56,0,107,180,59.44,18.89,-18.88,-18.88,50,48.4782608695652,-9.44
"26","36059-0113007",412,179,600,38.8,158,67.52,35.04,76,234,32.48,0,35.04,35.04,68.6666666666667,29.8333333333333,-1.14666666666668
"27","36059-0113008",423,410,844,1.5,222,53.75,7.51,191,413,46.25,0,7.5,7.5,50.1184834123223,48.5781990521327,3.63151658767772
"28","36059-0113009",274,265,547,1.6,145,52.35,4.69,132,277,47.65,0,4.7,4.7,50.091407678245,48.4460694698355,2.25859232175503
