state,GEOID,votes_dem,votes_rep,votes_total,pct_dem_lead,official_boundary,FIPS,TOWN
NY,3.6059E+11,412,501,924,-0.0963,TRUE,36059,2
NY,3.6059E+11,215,265,485,-0.1031,TRUE,36059,2
NY,3.6059E+11,575,845,1436,-0.188,TRUE,36059,2
NY,3.6059E+11,167,280,461,-0.2451,TRUE,36059,2
NY,3.6059E+11,385,604,1012,-0.2164,TRUE,36059,2
NY,3.6059E+11,10,7,17,0.1765,TRUE,36059,2
NY,3.6059E+11,242,396,649,-0.2373,TRUE,36059,2
NY,3.6059E+11,312,417,746,-0.1408,TRUE,36059,2
NY,3.6059E+11,52,35,89,0.191,TRUE,36059,2
NY,3.6059E+11,571,595,1182,-0.0203,TRUE,36059,2
NY,3.6059E+11,350,447,808,-0.12,TRUE,36059,2
NY,3.6059E+11,331,510,846,-0.2116,TRUE,36059,2
NY,3.6059E+11,238,474,718,-0.3287,TRUE,36059,2
NY,3.6059E+11,232,361,600,-0.215,TRUE,36059,2
NY,3.6059E+11,297,499,802,-0.2519,TRUE,36059,2
NY,3.6059E+11,171,352,526,-0.3441,TRUE,36059,2
NY,3.6059E+11,248,375,631,-0.2013,TRUE,36059,2
NY,3.6059E+11,225,324,553,-0.179,TRUE,36059,2
NY,3.6059E+11,290,565,866,-0.3176,TRUE,36059,2
NY,3.6059E+11,237,634,880,-0.4511,TRUE,36059,2
NY,3.6059E+11,299,511,812,-0.2611,TRUE,36059,2
NY,3.6059E+11,355,765,1125,-0.3644,TRUE,36059,2
NY,3.6059E+11,193,340,535,-0.2748,TRUE,36059,2
NY,3.6059E+11,358,531,895,-0.1933,TRUE,36059,2
NY,3.6059E+11,376,528,917,-0.1658,TRUE,36059,2
NY,3.6059E+11,348,613,970,-0.2732,TRUE,36059,2
NY,3.6059E+11,207,482,692,-0.3974,TRUE,36059,2
NY,3.6059E+11,287,617,914,-0.3611,TRUE,36059,2
NY,3.6059E+11,216,447,670,-0.3448,TRUE,36059,2
NY,3.6059E+11,270,571,849,-0.3545,TRUE,36059,2
NY,3.6059E+11,280,598,883,-0.3601,TRUE,36059,2
NY,3.6059E+11,315,595,917,-0.3053,TRUE,36059,2
NY,3.6059E+11,203,358,566,-0.2739,TRUE,36059,2
NY,3.6059E+11,320,562,894,-0.2707,TRUE,36059,2
NY,3.6059E+11,248,538,794,-0.3652,TRUE,36059,2
NY,3.6059E+11,300,605,925,-0.3297,TRUE,36059,2
NY,3.6059E+11,234,251,495,-0.0343,TRUE,36059,2
NY,3.6059E+11,329,537,871,-0.2388,TRUE,36059,2
NY,3.6059E+11,338,591,934,-0.2709,TRUE,36059,2
NY,3.6059E+11,224,358,586,-0.2287,TRUE,36059,2
NY,3.6059E+11,279,278,563,0.0018,TRUE,36059,2
NY,3.6059E+11,507,668,1188,-0.1355,TRUE,36059,2
NY,3.6059E+11,333,455,802,-0.1521,TRUE,36059,2
NY,3.6059E+11,331,455,793,-0.1564,TRUE,36059,2
NY,3.6059E+11,236,423,674,-0.2774,TRUE,36059,2
NY,3.6059E+11,505,770,1283,-0.2065,TRUE,36059,2
NY,3.6059E+11,524,679,1217,-0.1274,TRUE,36059,2
NY,3.6059E+11,412,568,989,-0.1577,TRUE,36059,2
NY,3.6059E+11,174,241,421,-0.1591,TRUE,36059,2
NY,3.6059E+11,195,269,468,-0.1581,TRUE,36059,2
NY,3.6059E+11,324,466,804,-0.1766,TRUE,36059,2
